,Host_ID,Time,Frame_ID,Host_vel,H_Lane_ID,H_local_y,H_local_y_ts,Preceding_ID,Preceding_vel,P_Lane_ID,P_local_y_ts,Distance_Diff_Ts,Distance_Diff
0,68,11631176.0,990,37.6257312,1,467.2449888,511.8945312,96,0.0,1.0,586.7649936,74.87046240000001,119.52000480000004
1,68,11631177.0,991,37.2087648,1,468.2755176,512.7052992,96,0.0,1.0,586.7741376,74.0688384,118.49862000000002
2,68,11631178.0,992,37.23071040000001,1,469.2926352,513.5191152,96,0.0,1.0,586.7835864,73.2644712,117.49095119999998
3,68,11631179.0,993,37.6696224,1,470.32560240000004,514.3106808,96,0.0,1.0,586.7927304,72.48204959999998,116.46712799999995
4,68,11631180.0,994,38.1085344,1,471.38630639999997,515.063232,96,0.0,1.0,586.8021792000001,71.7389472000001,115.4158728000001
5,68,11631181.0,995,38.1633984,1,472.4604216,515.7959712,96,0.0,1.0,586.8113232000001,71.01535200000001,114.35090160000004
6,68,11631182.0,996,37.801296,1,473.523564,516.535416,96,0.0,1.0,586.8204672,70.2850512,113.29690320000003
7,68,11631183.0,997,37.0002816,1,474.5708568,517.3022928,96,0.0,1.0,586.829916,69.5276232,112.25905920000002
8,68,11631184.0,998,35.5408992,1,475.5770016,518.0831904,96,0.0,1.0,586.83906,68.75586959999998,111.2620584
9,68,11631185.0,999,33.203692800000006,1,476.5209672,518.857992,96,0.0,1.0,586.8485088,67.99051680000002,110.32754160000002
10,68,11631186.0,1000,30.405628800000002,1,477.4000104,519.6324888,96,0.0,1.0,586.8576528,67.22516399999995,109.4576424
11,68,11631187.0,1001,28.474416,1,478.2272376,520.4069856000001,96,0.0,1.0,586.8671016,66.46011599999986,108.63986399999993
12,68,11631210.0,1024,30.065472000000003,1,498.8079432,536.9323272,96,0.32918400000000003,1.0,587.0804616,50.1481344,88.27251840000002
13,68,11631211.0,1025,30.3178464,1,499.64065680000004,537.5708832,96,0.34015680000000004,1.0,587.0899104,49.51902719999998,87.44925359999996
14,68,11631212.0,1026,30.5153568,1,500.49927840000004,538.2185832,96,0.34015680000000004,1.0,587.0990544000001,48.8804712000001,86.59977600000008
15,68,11631213.0,1027,30.208118400000004,1,501.35668080000005,538.8763416,96,0.32918400000000003,1.0,587.1081984000001,48.23185680000006,85.75151760000006
16,68,11631214.0,1028,29.670451200000002,1,502.1851272,539.523432,96,0.34015680000000004,1.0,587.1176472000001,47.59421520000012,84.93252000000007
17,68,11631215.0,1029,29.319321600000002,1,502.99772400000006,540.1424808,96,0.34015680000000004,1.0,587.1267912000001,46.98431040000003,84.12906720000001
18,68,11631216.0,1030,29.154729600000003,1,503.80392000000006,540.7462896000001,96,0.32918400000000003,1.0,587.13624,46.389950399999975,83.33231999999998
19,68,11631217.0,1031,29.132784,1,504.6110304,541.3644240000001,96,0.32918400000000003,1.0,587.145384,45.780959999999936,82.53435360000003
20,68,11631218.0,1032,29.1437568,1,505.4199696,542.0118192,96,0.32918400000000003,1.0,587.1548328,45.14301360000002,81.7348632
21,68,11631219.0,1033,29.154729600000003,1,506.22921360000004,542.6723208000001,96,0.32918400000000003,1.0,587.1639768,44.49165599999992,80.93476319999996
22,68,11631220.0,1034,29.154729600000003,1,507.0384576,543.3157536,96,0.32918400000000003,1.0,587.1734256000001,43.85767200000009,80.13496800000007
23,68,11631221.0,1035,29.154729600000003,1,507.8477016,543.9357168,96,0.32918400000000003,1.0,587.1825696000001,43.246852800000056,79.33486800000009
